epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,756.685,1.04552,1.08112,0.00699,0.80506,0.70442,0.80522,0.56971,1.085,0.86665,0.00888,0.00999189,0.00333063,0.00999189,0.00333063,0.00999189,0.00333063,0.00999189,0.00333063
2,1460.13,1.16116,0.90969,0.00841,0.78416,0.68339,0.7773,0.53107,1.19806,0.93225,0.01029,0.0199783,0.00665944,0.0199783,0.00665944,0.0199783,0.00665944,0.0199783,0.00665944
3,2164.82,1.29189,0.98947,0.00989,0.76536,0.67103,0.76142,0.50814,1.28226,0.96135,0.0113,0.0299106,0.00997019,0.0299106,0.00997019,0.0299106,0.00997019,0.0299106,0.00997019
4,2868.03,1.32652,0.99088,0.01018,0.78485,0.69248,0.78084,0.53002,1.23,0.90937,0.01056,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
5,3570.18,1.28019,0.94247,0.00953,0.80057,0.70296,0.7939,0.55217,1.17522,0.87943,0.00988,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
6,4273.72,1.25434,0.91996,0.00925,0.81646,0.69466,0.79805,0.56436,1.14995,0.84572,0.00951,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
7,4977.02,1.23657,0.90757,0.00901,0.82531,0.6982,0.80606,0.57136,1.1312,0.83763,0.00919,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
8,5680.68,1.22608,0.89192,0.00887,0.81619,0.71221,0.80982,0.5782,1.10878,0.82808,0.00898,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
9,6383.77,1.21799,0.87659,0.00876,0.82931,0.7092,0.81425,0.58448,1.101,0.81769,0.00884,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
10,7087.44,1.20816,0.87503,0.00866,0.81667,0.71365,0.81444,0.58766,1.08485,0.81589,0.00862,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
11,7789.28,1.20267,0.86585,0.0086,0.81455,0.71992,0.81725,0.59066,1.07878,0.80757,0.00857,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
